d_codigo;Colonia;Tipo;Municipio;Estado;d_ciudad;c_estado;c_oficina;c_CP;c_tipo_asenta;c_mnpio;id_asenta_cpcons;d_zona;c_cve_ciudad
1296;Ampliación Jalalpa;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;153;Urbano;1
1296;Jalalpa Tepito;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;154;Urbano;1
1296;Jalalpa Tepito 2a Ampliación;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;152;Urbano;1
1298;Ampliación Piloto Adolfo López Mateos;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;156;Urbano;1
1299;1a Ampliación Presidentes;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;160;Urbano;1
1299;2a Ampliación Presidentes;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;161;Urbano;1
1310;San Gabriel;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;163;Urbano;1
1320;Carlos A. Madrazo;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;164;Urbano;1
1330;Paseo de las Lomas;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;168;Urbano;1
1340;Bejero del Pueblo Santa Fe;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;170;Urbano;1
1376;Santa Fe Peña Blanca;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;2682;Urbano;1
1376;Santa Fe;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;171;Urbano;1
1376;Santa Fe La Loma;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;2683;Urbano;1
1376;Santa Fe Centro Ciudad;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;2864;Urbano;1
1377;Jalalpa El Grande;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;172;Urbano;1
1379;Antonio Carrillo Flores;Unidad habitacional;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;31;10;174;Urbano;1
1389;Santa Fe Tlayapaca;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1291;;9;10;176;Urbano;1
1400;Olivar del Conde 1a Sección;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;181;Urbano;1
1400;Preconcreto;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;184;Urbano;1
1407;Galeana;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;187;Urbano;1
1408;Olivar del Conde 2a Sección;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;188;Urbano;1
1410;Palmas;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;194;Urbano;1
1410;Barrio Norte;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;193;Urbano;1
1419;Minas Cristo Rey;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;195;Urbano;1
1420;Santa María Nonoalco;Barrio;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;2;10;197;Urbano;1
1420;Sacramento;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;196;Urbano;1
1430;Colina del Sur;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;198;Urbano;1
1440;Abeto;Condominio;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;10;10;199;Urbano;1
1450;Unidad Popular Emiliano Zapata;Unidad habitacional;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;31;10;2635;Urbano;1
1450;Batallón de San Patricio;Unidad habitacional;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;31;10;201;Urbano;1
1450;Hogar y Redención;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;202;Urbano;1
1450;Cañada del Olivar;Unidad habitacional;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;31;10;2634;Urbano;1
1460;Alfonso XIII;Colonia;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;204;Urbano;1
