d_codigo;Municipio;Estado;d_ciudad;c_estado;c_oficina;c_CP;c_tipo_asenta;c_mnpio;id_asenta_cpcons;d_zona;c_cve_ciudad
1420;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;2;10;197;Urbano;1
1430;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;198;Urbano;1
1440;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;10;10;199;Urbano;1
1450;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;31;10;2635;Urbano;1
1460;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;204;Urbano;1
1470;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;207;Urbano;1
1480;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;209;Urbano;1
1490;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;31;10;212;Urbano;1
1500;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;28;10;213;Urbano;1
1509;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;28;10;221;Urbano;1
1510;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;223;Urbano;1
1520;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;225;Urbano;1
1530;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;9;10;229;Urbano;1
1537;Álvaro Obregón;Distrito Federal;Ciudad de México;9;1401;;31;10;230;Urbano;1
2160;Azcapotzalco;Distrito Federal;Ciudad de México;9;2011;;28;2;394;Urbano;2
2169;Azcapotzalco;Distrito Federal;Ciudad de México;9;2011;;31;2;395;Urbano;2
2200;Azcapotzalco;Distrito Federal;Ciudad de México;9;2011;;9;2;396;Urbano;2
2230;Azcapotzalco;Distrito Federal;Ciudad de México;9;2011;;28;2;397;Urbano;2
2240;Azcapotzalco;Distrito Federal;Ciudad de México;9;2011;;31;2;2818;Urbano;2
2250;Azcapotzalco;Distrito Federal;Ciudad de México;9;2011;;28;2;400;Urbano;2
2260;Azcapotzalco;Distrito Federal;Ciudad de México;9;2011;;31;2;2821;Urbano;2
2300;Azcapotzalco;Distrito Federal;Ciudad de México;9;2601;;9;2;402;Urbano;2
2310;Azcapotzalco;Distrito Federal;Ciudad de México;9;2601;;9;2;404;Urbano;2
2320;Azcapotzalco;Distrito Federal;Ciudad de México;9;2601;;28;2;405;Urbano;2
2330;Azcapotzalco;Distrito Federal;Ciudad de México;9;2601;;2;2;406;Urbano;2
2340;Azcapotzalco;Distrito Federal;Ciudad de México;9;2601;;9;2;407;Urbano;2
2350;Azcapotzalco;Distrito Federal;Ciudad de México;9;2601;;31;2;408;Urbano;2
2360;Azcapotzalco;Distrito Federal;Ciudad de México;9;2601;;9;2;409;Urbano;2
2400;Azcapotzalco;Distrito Federal;Ciudad de México;9;2011;;31;2;2802;Urbano;2
2409;Azcapotzalco;Distrito Federal;Ciudad de México;9;2011;;31;2;411;Urbano;2
2410;Azcapotzalco;Distrito Federal;Ciudad de México;9;2011;;9;2;412;Urbano;2
2419;Azcapotzalco;Distrito Federal;Ciudad de México;9;2011;;31;2;413;Urbano;2
2420;Azcapotzalco;Distrito Federal;Ciudad de México;9;2011;;31;2;414;Urbano;2
